"id","filename","category","subject","status","source_url","license","source_page","verified","sha256","notes","photographer"
"pm-003","data\images\patient_monitor\pm-003_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/4483339/pexels-photo-4483339.jpeg","Pexels License","https://www.pexels.com/photo/ecg-monitor-behind-doctor-looking-at-patient-4483339/","true","2e80fa9ed8ae9ccd27667dae9e65c7609b6fccaf7c5788bc7b268e40186e671f","Doctor using ECG monitor; clinician-in-frame","Anna Shvets"
"pm-004","data\images\patient_monitor\pm-004_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/3845129/pexels-photo-3845129.jpeg","Pexels License","https://www.pexels.com/photo/heart-rate-monitor-3845129/","true","6f1dcbd999aaf31416233b01abfde1f4df53b3c95c70e0e3aa3609fb46da9074","Heart rate monitor in sterile setting","Anna Shvets"
"pm-005","data\images\patient_monitor\pm-005_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/11198232/pexels-photo-11198232.jpeg","Pexels License","https://www.pexels.com/photo/vital-signs-monitor-in-close-up-photography-11198232/","true","897bfed55a7e8fd485ab57d2c5a0452daf89a133b53d358436788ed5ced8c3e4","Close-up vital signs monitor","CARLOSCRUZ ARTEGRAFIA"
"pm-006","data\images\patient_monitor\pm-006_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/9408869/pexels-photo-9408869.jpeg","Pexels License","https://www.pexels.com/photo/shallow-focus-of-electrocardiogram-9408869/","true","d7d6dbc5d8754f1bce4e9c4e39b676264dc541c27fee8fb43a8a37634ddb38fc","ECG machine displaying heart rate","Stephen Andrews"
"pm-007","data\images\patient_monitor\pm-007_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/9408868/pexels-photo-9408868.jpeg","Pexels License","https://www.pexels.com/photo/professional-electrocardiogram-monitor-9408868/","true","2987590b4385e0503e1f4a1666cfa184efb53336be991b579a23a23f5a7d0ac9","Advanced medical monitor displaying ECG data","Stephen Andrews"
"pm-008","data\images\patient_monitor\pm-008_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/10987487/pexels-photo-10987487.jpeg","Pexels License","https://www.pexels.com/photo/a-white-medical-equipment-10987487/","true","64f787a9f00822e3b56d2e7dd56d894f4931f995d9ec47353ca1e46d02b67e3e","Patient in bed with heart monitor","Кайрат Сатдиков"
"pm-009","data\images\patient_monitor\pm-009_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/6129683/pexels-photo-6129683.jpeg","Pexels License","https://www.pexels.com/photo/nurse-looking-at-a-monitor-6129683/","true","01bd1d297402e1cb420fff6b189199f5fa9ff0597bbcec2ae183966f7f83459d","Nurse examining medical monitor; human-element diversity","RDNE Stock project"
"pm-010","data\images\patient_monitor\pm-010_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/36614082/pexels-photo-36614082.jpeg","Pexels License","https://www.pexels.com/photo/hospital-monitor-with-iv-drip-in-cebu-city-clinic-36614082/","true","48d216899583c8998c769dd75292e0b4ad695c744b7d01d6956bec305c8b85d9","Hospital monitor with IV drip in Cebu City clinic; geographic diversity","Arthur Uzoagba"
"pm-hn-001","data\hard_negatives\patient_monitor\pm-hn-001_fetal-monitor.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","e84c14f3a2bac1d3239d38e2350e3aa24e1efacad4ee07ba9b8eb5ef3c7ac8b0","Hard negative for patient_monitor",""
"pm-hn-002","data\hard_negatives\patient_monitor\pm-hn-002_ecg-machine.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","2499f055cf3236736f0a8d9464fd0721b55e45f7abdaea2876e746fbd0834898","Hard negative for patient_monitor",""
"pm-hn-003","data\hard_negatives\patient_monitor\pm-hn-003_anesthesia-workstation.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","4297a6ed46f426790144060b58ceb2bc5963e25dcb15f344f5b37201c20aacd1","Hard negative for patient_monitor",""
"pm-hn-004","data\hard_negatives\patient_monitor\pm-hn-004_mechanical-ventilator.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","2b1d7c18e2c1e3136f1ed94366eb8b36bb0036d9f6b3e231b82875250eb53ed1","Hard negative for patient_monitor",""
"pm-hn-005","data\hard_negatives\patient_monitor\pm-hn-005_fetal-monitor.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","196ff728cf03a0781be7c44efb9b234e14c8d5412297d8f118e5b086f25bc391","Hard negative for patient_monitor",""
"pm-hn-006","data\hard_negatives\patient_monitor\pm-hn-006_fetal-monitor.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","8c999d2c3f9501a0848157b748e458b975f47d04899b05081d3d01c6e87c4916","Hard negative for patient_monitor",""
"pm-hn-007","data\hard_negatives\patient_monitor\pm-hn-007_fetal-monitor.jpg","medical_equipment","patient_monitor","hard_negative","","","","false","156f48e1afe92333bac277716e2bda78f638172dd07e4736e8e743a4516630a8","Hard negative for patient_monitor",""
"st-001","data\images\sterilizer\st-001_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","f6d92b4dafc69855abcde885ab6b6751c2dd26b84ef320b99c005d09093ec2ac","Positive corpus image",""
"st-002","data\images\sterilizer\st-002_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","3ba3cdc165f30440212996c6ebfe9faf486dabbb03f03fb7e91a85c89297c350","Positive corpus image",""
"st-003","data\images\sterilizer\st-003_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","72b23b871fcf3a0939178b9b96498d8cf2c7fb04a9bfd6467063bf147ddff950","Positive corpus image",""
"st-004","data\images\sterilizer\st-004_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","9433b49aaba41377f686edceadd25c33819972b3f5bfc28a47450237430bb827","Positive corpus image",""
"st-005","data\images\sterilizer\st-005_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","a27ab241622ffac832c2e9fb42f98dc62f64e61c3c2f3fb77400a45fab2e1b60","Positive corpus image",""
"st-006","data\images\sterilizer\st-006_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","563e6ff66c8e3fae871825f037a506d16d78aea9cf761e06499f9d93295b9048","Positive corpus image",""
"st-007","data\images\sterilizer\st-007_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","756ea9fb62eecd3a01fdf128d51e788f7094d6ad8392fdf503a6f145eb5d4462","Positive corpus image",""
"st-008","data\images\sterilizer\st-008_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","2f20005af5b4108d515dfdf372e684e066645257569da26a18656aebb3bf3241","Positive corpus image",""
"st-009","data\images\sterilizer\st-009_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","f2f71e11dee8a4a3949c58e979ca170e47708fba9460f62e032be64c586c536d","Positive corpus image",""
"st-010","data\images\sterilizer\st-010_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","3d38234ed197bde8f592624fbab49b49c9d987ac97baa0cb5e3282ba44caff20","Positive corpus image",""
"st-011","data\images\sterilizer\st-011_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","4ded56f86ff10bcac9f23564a13d5be0091aa891c568e82a24faca1caa7740ca","Positive corpus image",""
"st-012","data\images\sterilizer\st-012_sterilizer.jpg","medical_equipment","sterilizer","positive","","","","false","42240507b3c6dd9e2b555e7265fe1e49ee9fbd4781662156ca292bc2f6e7f3ca","Positive corpus image",""
